ticker,name,issuer,structure,role,category,asset_class,growth_pct,mer_pct,size_aud_m,franking_pct,distribution_frequency,hedged,notes,as_at
AAA,Betashares Australian High Interest Cash ETF,Betashares,etf,cash,cash ETF (bank deposits),defensive,0,0.18,4500,0,monthly,na,"Holds bank deposits; pays monthly; unit price sits near AUD 50; size 4,100-4,900 by source in 2026",2026-09-06
BILL,iShares Core Cash ETF,BlackRock iShares,etf,cash,cash ETF (short-term money market),defensive,0,0.07,1300,0,monthly,na,Short-dated bank paper; unit price near AUD 100; size not live-verified in the 2026-09-06 research pass,2026-09-06
ISEC,iShares Enhanced Cash ETF,BlackRock iShares,active_etf,cash,enhanced cash active ETF,defensive,0,0.12,650,0,monthly,na,Slightly longer paper than BILL for a little more yield; actively managed against the bank bill index,2026-09-06
MMKT,Betashares Australian Cash Plus Fund (managed fund),Betashares,active_etf,cash,cash-plus active fund,defensive,0,0.18,620,0,monthly,na,Actively managed cash-plus; may hold short-dated credit; fee 0.18% per two verified sources; one reviewer believed 0.12%,2026-09-06
VAF,Vanguard Australian Fixed Interest Index ETF,Vanguard,etf,defensive,Australian composite bond ETF,defensive,0,0.10,3450,0,quarterly,na,Bloomberg AusBond Composite; duration about 5 years,2026-09-06
IAF,iShares Core Composite Bond ETF,BlackRock iShares,etf,defensive,Australian composite bond ETF,defensive,0,0.10,3700,0,quarterly,na,Bloomberg AusBond Composite; duration about 5 years,2026-09-06
VGB,Vanguard Australian Government Bond Index ETF,Vanguard,etf,defensive,Australian government bond ETF,defensive,0,0.16,1330,0,quarterly,na,Commonwealth and state government bonds only,2026-09-06
AGVT,Betashares Australian Government Bond ETF,Betashares,etf,defensive,Australian government bond ETF,defensive,0,0.22,500,0,monthly,na,Longer duration (7-12 year bonds); more sensitive to rates,2026-09-06
BOND,SPDR S&P/ASX Australian Bond Fund,State Street,etf,defensive,Australian composite bond ETF,defensive,0,0.24,40,0,quarterly,na,Small fund; kept in the universe to show the size filter working,2026-09-06
VBND,Vanguard Global Aggregate Bond Index (Hedged) ETF,Vanguard,etf,defensive,global bond ETF (AUD hedged),defensive,0,0.20,900,0,quarterly,yes,Global government and corporate bonds hedged to AUD,2026-09-06
CRED,Betashares Australian Investment Grade Corporate Bond ETF,Betashares,etf,defensive,Australian corporate bond ETF,defensive,0,0.25,1870,0,monthly,na,Fixed-rate corporate bonds; duration about 5-6 years,2026-09-06
VACF,Vanguard Australian Corporate Fixed Interest Index ETF,Vanguard,etf,defensive,Australian corporate bond ETF,defensive,0,0.20,800,0,quarterly,na,Investment-grade corporate bonds,2026-09-06
QPON,Betashares Australian Bank Senior Floating Rate Bond ETF,Betashares,etf,defensive,floating-rate bond ETF,defensive,0,0.22,1500,0,monthly,na,Senior bank floating-rate notes; near-zero duration,2026-09-06
FLOT,VanEck Australian Floating Rate ETF,VanEck,etf,defensive,floating-rate bond ETF,defensive,0,0.22,1240,0,monthly,na,Floating-rate notes; near-zero duration,2026-09-06
